error, control
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
23,2
38,3
55,5
72,7
87,8
103,10
119,11
132,13
147,14
164,16
182,18
200,20
221,22
239,23
257,25
273,27
291,29
307,30
325,32
345,34
365,36
385,38
402,40
419,41
432,43
445,44
457,45
466,46
467,46
460,46
451,45
448,44
446,44
445,44
447,44
445,44
438,43
422,42
402,40
380,38
354,35
327,32
299,29
269,26
240,24
208,20
175,17
140,14
109,10
76,7
47,4
29,2
20,2
14,1
8,0
6,0
6,0
4,0
6,0
5,0
5,0
6,0
5,0
6,0
6,0
5,0
6,0
5,0
6,0
6,0
6,0
6,0
7,0
6,0
5,0
5,0
6,0
7,0
7,0
6,0
6,0
5,0
5,0
5,0
6,0
7,0
6,0
5,0
6,0
5,0
6,0
6,0
6,0
6,0
5,0
6,0
5,0
6,0
8,0
7,0
6,0
6,0
7,0
5,0
7,0
6,0
4,0
5,0
6,0
6,0
6,0
6,0
5,0
6,0
5,0
6,0
8,0
7,0
6,0
6,0
5,0
7,0
6,0
6,0
7,0
6,0
6,0
7,0
6,0
6,0
6,0
6,0
7,0
6,0
5,0
6,0
6,0
6,0
5,0
5,0
8,0
5,0
6,0
7,0
6,0
6,0
7,0
6,0
6,0
6,0
6,0
5,0
5,0
5,0
6,0
5,0
7,0
7,0
6,0
6,0
6,0
5,0
6,0
4,0
6,0
5,0
6,0
7,0
6,0
5,0
5,0
6,0
6,0
6,0
5,0
6,0
6,0
6,0
7,0
6,0
7,0
5,0
6,0
5,0
7,0
6,0
6,0
5,0
6,0
6,0
5,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
7,0
5,0
7,0
6,0
6,0
7,0
7,0
6,0
6,0
7,0
5,0
6,0
6,0
7,0
6,0
6,0
7,0
5,0
6,0
6,0
7,0
5,0
7,0
6,0
6,0
5,0
7,0
6,0
6,0
7,0
6,0
6,0
6,0
5,0
5,0
7,0
6,0
6,0
6,0
7,0
6,0
6,0
6,0
5,0
6,0
5,0
7,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
7,0
7,0
5,0
6,0
6,0
6,0
6,0
7,0
5,0
6,0
6,0
6,0
5,0
7,0
5,0
5,0
6,0
5,0
6,0
7,0
6,0
6,0
6,0
7,0
5,0
5,0
6,0
7,0
6,0
6,0
7,0
6,0
6,0
6,0
7,0
5,0
6,0
6,0
6,0
4,0
2,0
2,0
1,0
2,0
3,0
2,0
2,0
3,0
2,0
3,0
3,0
2,0
9,0
22,2
38,3
58,5
79,7
103,10
126,12
148,14
168,16
185,18
205,20
225,22
245,24
263,26
281,28
301,30
318,31
336,33
352,35
364,36
371,37
372,37
372,37
372,37
370,37
369,36
367,36
367,36
366,36
366,36
366,36
366,36
366,36
367,36
366,36
366,36
366,36
366,36
366,36
366,36
366,36
396,39
374,37
384,38
399,39
416,41
435,43
455,45
471,47
488,48
509,50
529,52
545,54
561,56
576,57
593,59
604,60
628,62
624,62
629,62
631,63
630,63
630,63
630,63
630,63
631,63
630,63
631,63
631,63
630,63
628,62
627,62
628,62
643,64
628,62
628,62
628,62
627,62
627,62
626,62
627,62
627,62
627,62
627,62
627,62
627,62
626,62
626,62
628,62
642,64
627,62
627,62
627,62
627,62
627,62
627,62
628,62
629,62
633,63
635,63
637,63
639,63
643,64
645,64
646,64
660,66
646,64
646,64
645,64
645,64
646,64
646,64
649,64
653,65
662,66
674,67
686,68
694,69
707,70
717,71
727,72
743,74
741,74
749,74
750,75
749,74
748,74
749,74
748,74
